1285,538,2
1317,518,3
1345,500,4
1329,613,5
1366,589,6
1339,560,7
1315,554,8
1312,636,9
1355,603,10
1327,568,11
1301,560,12
1286,648,13
1307,600,14
1278,570,15
1253,565,16
1258,650,17
1283,619,18
1285,594,19
1281,582,20
1207,591,0
1244,558,1
1290,537,2
1321,516,3
1348,495,4
1334,614,5
1370,585,6
1343,555,7
1318,548,8
1315,635,9
1357,596,10
1329,562,11
1305,555,12
1288,644,13
1311,593,14
1284,562,15
1262,555,16
1259,643,17
1289,617,18
1299,596,19
1301,585,20
1215,584,0
1251,550,1
1296,530,2
1326,509,3
1353,488,4
1340,604,5
1376,577,6
1347,550,7
1322,545,8
1320,628,9
1364,594,10
1336,561,11
1312,552,12
1293,639,13
1312,590,14
1287,557,15
1267,550,16
1263,641,17
1287,612,18
1288,593,19
1284,586,20
1221,579,0
1255,545,1
1299,524,2
1329,503,3
1356,481,4
1344,599,5
1380,570,6
1352,542,7
1330,537,8
1326,621,9
1369,584,10
1341,552,11
1318,546,12
1299,632,13
1320,582,14
1294,551,15
1275,545,16
1270,634,17
1292,604,18
1290,586,19
1284,581,20
1224,578,0
1260,541,1
1304,519,2
1334,497,3
1361,475,4
1349,593,5
1386,562,6
1358,534,7
1335,529,8
1330,615,9
1374,576,10
1346,544,11
1323,538,12
1303,625,13
1327,575,14
1299,543,15
1278,537,16
1274,626,17
1302,598,18
1305,577,19
1303,567,20
1226,571,0
1262,536,1
1309,513,2
1340,490,3
1367,468,4
1353,588,5
1391,555,6
1364,528,7
1340,524,8
1335,609,9
1379,568,10
1351,536,11
1327,530,12
1310,618,13
1334,567,14
1307,537,15
1285,533,16
1282,618,17
1310,586,18
1309,563,19
1302,552,20
1233,568,0
1270,529,1
1315,503,2
1346,481,3
1373,459,4
1362,578,5
1399,547,6
1371,521,7
1344,515,8
1346,601,9
1389,562,10
1360,532,11
1334,523,12
1321,612,13
1342,560,14
1315,530,15
1292,522,16
1294,614,17
1318,579,18
1313,554,19
1303,542,20
1240,560,0
1276,522,1
1322,497,2
1352,474,3
1378,452,4
1371,571,5
1406,538,6
1375,512,7
1350,509,8
1353,594,9
1395,553,10
1364,521,11
1339,516,12
1327,605,13
1348,553,14
1320,523,15
1300,518,16
1298,607,17
1321,571,18
1316,547,19
1308,539,20
1247,556,0
1283,516,1
1329,489,2
1359,466,3
1385,444,4
1377,565,5
1412,533,6
1382,505,7
1357,502,8
1360,588,9
1401,549,10
1370,516,11
1344,510,12
1335,600,13
1355,548,14
1326,518,15
1304,513,16
1307,603,17
1327,568,18
1316,545,19
1301,537,20
1250,549,0
1285,513,1
1332,488,2
1364,464,3
1390,440,4
1382,561,5
1417,528,6
1388,499,7
1363,496,8
1366,584,9
1405,540,10
1374,508,11
1349,504,12
1342,596,13
1362,540,14
1332,510,15
1310,507,16
1315,599,17
1337,559,18
1328,533,19
1316,524,20
1263,541,0
1298,503,1
1341,477,2
1370,454,3
1396,433,4
1391,549,5
1426,520,6
1396,494,7
1369,489,8
1373,575,9
1416,540,10
1386,508,11
1359,499,12
1347,589,13
1364,538,14
1336,508,15
1313,500,16
1318,593,17
1339,559,18
1335,536,19
1328,526,20
1266,540,0
1301,503,1
1345,478,2
1375,453,3
1401,428,4
1394,553,5
1429,515,6
1400,486,7
1374,481,8
1376,575,9
1416,527,10
1385,495,11
1360,490,12
1349,585,13
1369,528,14
1340,498,15
1318,492,16
1320,585,17
1346,553,18
1351,530,19
1350,518,20
1277,530,0
1311,490,1
1354,465,2
1383,442,3
1409,416,4
1406,539,5
1439,502,6
1407,476,7
1381,474,8
1388,562,9
1421,515,10
1386,488,11
1361,486,12
1360,574,13
1376,520,14
1346,492,15
1326,487,16
1329,576,17
1354,549,18
1358,529,19
1357,520,20
1279,529,0
1317,492,1
1361,467,2
1390,439,3
1414,411,4
1411,537,5
1445,495,6
1414,470,7
1389,468,8
1393,558,9
1426,504,10
1392,478,11
1369,477,12
1365,566,13
1382,509,14
1352,483,15
1331,479,16
1335,567,17
1360,542,18
1373,525,19
1382,516,20
1283,527,0
1320,483,1
1365,455,2
1395,428,3
1421,399,4
1419,527,5
1453,485,6
1423,459,7
1397,456,8
1401,547,9
1439,496,10
1407,468,11
1381,466,12
1375,556,13
1394,501,14
1366,474,15
1344,471,16
1346,558,17
1368,523,18
1363,502,19
1354,494,20
1290,520,0
1326,474,1
1373,443,2
1403,417,3
1427,388,4
1424,516,5
1458,474,6
1427,448,7
1401,446,8
1406,537,9
1444,485,10
1412,457,11
1386,456,12
1380,547,13
1399,491,14
1371,462,15
1350,458,16
1351,549,17
1375,515,18
1371,495,19
1364,489,20
1297,507,0
1332,461,1
1378,430,2
1408,404,3
1432,375,4
1434,501,5
1466,460,6
1434,434,7
1407,433,8
1417,523,9
1451,472,10
1416,445,11
1389,444,12
1389,535,13
1406,481,14
1378,453,15
1357,448,16
1359,538,17
1382,509,18
1385,491,19
1384,485,20
1303,502,0
1339,456,1
1385,425,2
1414,397,3
1436,367,4
1436,496,5
1471,451,6
1440,424,7
1414,423,8
1419,516,9
1458,461,10
1426,433,11
1399,432,12
1394,526,13
1413,468,14
1385,441,15
1364,439,16
1366,528,17
1389,493,18
1390,474,19
1387,468,20
1308,498,0
1345,450,1
1390,417,2
1419,387,3
1441,356,4
1444,482,5
1477,437,6
1446,412,7
1420,411,8
1428,501,9
1462,449,10
1430,423,11
1405,422,12
1404,512,13
1420,457,14
1392,432,15
1372,428,16
1376,516,17
1397,482,18
1394,463,19
1390,457,20
1318,479,0
1351,432,1
1396,395,2
1425,366,3
1448,339,4
1454,462,5
1485,417,6
1452,394,7
1425,394,8
1439,486,9
1471,433,10
1436,407,11
1408,407,12
1415,500,13
1429,446,14
1400,420,15
1378,417,16
1386,506,17
1403,469,18
1394,448,19
1382,442,20
1329,480,0
1334,461,1
1359,434,2
1390,397,3
1416,369,4
1421,484,5
1462,423,6
1439,395,7
1416,394,8
1436,481,9
1471,415,10
1436,388,11
1410,392,12
1442,472,13
1473,409,14
1442,385,15
1417,388,16
1443,457,17
1466,410,18
1449,388,19
1431,388,20
1336,466,0
1372,433,1
1414,418,2
1441,407,3
1458,397,4
1458,449,5
1486,397,6
1461,371,7
1437,372,8
1445,462,9
1475,401,10
1446,375,11
1422,378,12
1425,469,13
1445,409,14
1418,385,15
1399,389,16
1399,470,17
1417,426,18
1406,405,19
1392,402,20
1336,464,0
1348,440,1
1371,421,2
1395,404,3
1417,386,4
1444,443,5
1477,383,6
1455,354,7
1433,354,8
1446,450,9
